,$log(s_C)$,$log(δ_C)$,$log(p_0)$,est_$log(s_C)$,est_$log(δ_C)$,est_$log(p_0)$,ratio_$log(s_C)$,ratio_$log(δ_C)$,ratio_$log(p_0)$
384,-1.2875583171844482,-3.3646554946899414,-5.888384342193604,-1.284804105758667,-3.3711628913879395,-5.614660739898682,-0.0021413875849519075,0.0019321776062010828,-0.04760048876042575
385,-1.2436095476150513,-4.021574974060059,-6.058009147644042,-1.2390624284744263,-4.036571502685547,-5.240079879760742,-0.003663089017750194,0.003722083231456218,-0.145044480168569
386,-0.824993371963501,-5.586171627044678,-3.793184280395508,-0.8180099725723267,-5.661528587341309,-3.8358192443847656,-0.008500824381628419,0.01339973263924537,0.01117718918697083
387,-1.6227519512176511,-5.555570125579834,-4.765756607055664,-1.5563642978668213,-5.693741321563721,-2.8447980880737305,-0.04177092039853581,0.024566507128155078,-0.5159642145135368
388,-0.7404469251632689,-5.175217151641846,-6.606577396392822,-0.7433342933654785,-5.157528877258301,-6.574499607086182,0.0038919104929017604,-0.0034237349127727757,-0.004867258210477493
389,-1.3633623123168943,-4.308092117309569,-7.13605260848999,-1.3604663610458374,-4.302908897399902,-3.765997886657715,-0.002126383638258535,-0.0012038601613928981,-0.6391468984453484
390,-1.048506259918213,-4.694209098815918,-3.321217536926269,-1.0493439435958862,-4.690497398376465,-3.3167386054992676,0.0007986115698743826,-0.0007910104879885387,-0.0013494913225172947
391,-0.8666479587554932,-3.7082228660583496,-4.901454448699951,-0.8676636219024658,-3.7047739028930664,-4.929527282714844,0.0011712581227167438,-0.0009305179866231486,0.005711110260521168
392,-1.492985725402832,-3.8026735782623287,-7.815305709838867,-1.4830944538116455,-3.8173749446868896,-3.390867233276367,-0.006647205328006878,0.0038586065746984634,-0.8349983717486263
393,-0.8817076683044434,-4.621304512023926,-5.52310848236084,-0.8818626403808594,-4.624320983886719,-5.436556816101074,0.0001757481128500528,0.0006525187443849737,-0.015794910391608595
394,-1.7623857259750366,-5.839518070220947,-4.814743995666504,-1.161912441253662,-6.092170238494873,-1.4662184715270996,-0.41660111344651596,0.04235610802855631,-1.1889962577911968
395,-1.5302048921585083,-4.165757179260254,-7.036393642425537,-1.531530499458313,-4.150232315063477,-3.499868869781494,0.0008659189727919795,-0.003733742627540915,-0.6983702701988278
396,-1.1095492839813232,-5.880645751953125,-6.817278861999512,-1.1112316846847534,-5.859595775604248,-6.129740238189697,0.0015151435904932021,-0.0035859567039427595,-0.10630802484341546
397,-0.9851146936416626,-5.105655193328857,-3.7776827812194815,-0.985274076461792,-5.097718715667725,-3.751347064971924,0.00016177804390204027,-0.0015556578309269026,-0.006995808010919201
398,-1.2618283033370972,-4.568506717681885,-3.5793561935424805,-1.2692244052886963,-4.548309326171875,-3.8407912254333496,0.005844305792682577,-0.004430806644744771,0.07049544363004874
399,-1.0842723846435547,-4.566470146179199,-5.854926109313965,-1.081730842590332,-4.572182655334473,-6.05397367477417,-0.0023467584791021534,0.0012501864385011216,0.033431485318097344
400,-1.02494215965271,-5.696689128875732,-4.2857279777526855,-1.0537654161453247,-5.518953800201416,-4.209939956665039,0.027733678629767108,-0.03169683811881839,-0.017842041892925507
401,-0.8844046592712401,-3.4999053478240967,-5.530760765075684,-0.8849800825119019,-3.4987621307373047,-5.603684425354004,0.0006504218640066508,-0.00032669564612462543,0.0130989378865561
